connectivityId,macId,data,data_tech,roaming,wifi,airplane,bluetooth,nfc,gps,vpn,usb,timestamp
27339,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:46.***
27340,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:46.***
27341,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:46.***
27342,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:46.***
27343,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:46.***
27344,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:47.***
27345,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:47.***
27346,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:47.***
27347,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:47.***
27348,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:47.***
27349,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:47.***
27350,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:49.***
27351,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:49.***
27352,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:49.***
27353,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:49.***
27354,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:49.***
27355,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:50.***
27356,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:50.***
27357,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:50.***
27358,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:50.***
27359,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:50.***
27360,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:50.***
27361,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:51.***
27362,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:51.***
27363,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:51.***
27364,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:51.***
27365,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:51.***
27366,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:51.***
27367,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:52.***
27368,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:52.***
27369,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:52.***
27370,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:52.***
27371,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:52.***
27372,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:53.***
27373,234,1,NULL,NULL,1,0,1,NULL,1,NULL,NULL,2019-11-21 08:25:53.***
