securityId,macId,unknownSources,developerOptions,secure,rooted,debugging,timestamp
27339,234,0,0,1,0,NULL,2019-11-21 08:25:46.***
27340,234,0,0,1,0,NULL,2019-11-21 08:25:46.***
27341,234,0,0,1,0,NULL,2019-11-21 08:25:46.***
27342,234,0,0,1,0,NULL,2019-11-21 08:25:46.***
27343,234,0,0,1,0,NULL,2019-11-21 08:25:46.***
27344,234,0,0,1,0,NULL,2019-11-21 08:25:47.***
27345,234,0,0,1,0,NULL,2019-11-21 08:25:47.***
27346,234,0,0,1,0,NULL,2019-11-21 08:25:47.***
27347,234,0,0,1,0,NULL,2019-11-21 08:25:47.***
27348,234,0,0,1,0,NULL,2019-11-21 08:25:47.***
27349,234,0,0,1,0,NULL,2019-11-21 08:25:47.***
27350,234,0,0,1,0,NULL,2019-11-21 08:25:49.***
27351,234,0,0,1,0,NULL,2019-11-21 08:25:49.***
27352,234,0,0,1,0,NULL,2019-11-21 08:25:49.***
27353,234,0,0,1,0,NULL,2019-11-21 08:25:49.***
27354,234,0,0,1,0,NULL,2019-11-21 08:25:49.***
27355,234,0,0,1,0,NULL,2019-11-21 08:25:50.***
27356,234,0,0,1,0,NULL,2019-11-21 08:25:50.***
27357,234,0,0,1,0,NULL,2019-11-21 08:25:50.***
27358,234,0,0,1,0,NULL,2019-11-21 08:25:50.***
27359,234,0,0,1,0,NULL,2019-11-21 08:25:50.***
27360,234,0,0,1,0,NULL,2019-11-21 08:25:50.***
27361,234,0,0,1,0,NULL,2019-11-21 08:25:51.***
27362,234,0,0,1,0,NULL,2019-11-21 08:25:51.***
27363,234,0,0,1,0,NULL,2019-11-21 08:25:51.***
27364,234,0,0,1,0,NULL,2019-11-21 08:25:51.***
27365,234,0,0,1,0,NULL,2019-11-21 08:25:51.***
27366,234,0,0,1,0,NULL,2019-11-21 08:25:51.***
27367,234,0,0,1,0,NULL,2019-11-21 08:25:52.***
27368,234,0,0,1,0,NULL,2019-11-21 08:25:52.***
27369,234,0,0,1,0,NULL,2019-11-21 08:25:52.***
27370,234,0,0,1,0,NULL,2019-11-21 08:25:52.***
27371,234,0,0,1,0,NULL,2019-11-21 08:25:52.***
27372,234,0,0,1,0,NULL,2019-11-21 08:25:53.***
27373,234,0,0,1,0,NULL,2019-11-21 08:25:53.***
27374,234,0,0,1,0,NULL,2019-11-21 08:25:53.***
27375,234,0,0,1,0,NULL,2019-11-21 08:25:53.***
27376,234,0,0,1,0,NULL,2019-11-21 08:25:53.***
27377,234,0,0,1,0,NULL,2019-11-21 08:25:53.***
27378,234,0,0,1,0,NULL,2019-11-21 08:25:54.***
27379,234,0,0,1,0,NULL,2019-11-21 08:25:54.***
27380,234,0,0,1,0,NULL,2019-11-21 08:25:54.***
27381,234,0,0,1,0,NULL,2019-11-21 08:25:54.***
27382,234,0,0,1,0,NULL,2019-11-21 08:25:54.***
27383,234,0,0,1,0,NULL,2019-11-21 08:25:55.***
27384,234,0,0,1,0,NULL,2019-11-21 08:25:55.***
27385,234,0,0,1,0,NULL,2019-11-21 08:25:55.***
27386,234,0,0,1,0,NULL,2019-11-21 08:25:55.***
27387,234,0,0,1,0,NULL,2019-11-21 08:25:55.***
27388,234,0,0,1,0,NULL,2019-11-21 08:25:55.***
27389,234,0,0,1,0,NULL,2019-11-21 08:25:55.***
314,12,0,1,1,0,NULL,*
315,12,0,1,1,0,NULL,*
316,15,0,0,1,0,NULL,*
317,15,0,0,1,0,NULL,*
318,14,0,0,1,0,NULL,*
7091,139,1,0,1,0,NULL,*
7092,139,1,0,1,0,NULL,*
7093,147,0,1,1,0,NULL,*
7094,147,0,1,1,0,NULL,*
7095,140,0,0,1,0,NULL,*
7096,140,0,0,1,0,NULL,*
27337,234,0,0,1,0,NULL,*
27338,234,0,0,1,0,NULL,*
27390,234,0,0,1,0,NULL,*
27391,234,0,0,1,0,NULL,*
27392,234,0,0,1,0,NULL,*
27393,234,0,0,1,0,NULL,*
29326,25,1,1,1,0,NULL,*
29327,25,1,1,1,0,NULL,*
29328,25,1,1,1,0,NULL,*
29329,25,1,1,1,0,NULL,*
29330,25,1,1,1,0,NULL,*
29331,25,1,1,1,0,NULL,*
33186,2,0,0,1,0,NULL,*
33187,2,0,0,1,0,NULL,*
33188,2,0,0,1,0,NULL,*
33189,2,0,0,1,0,NULL,*
33190,2,0,0,1,0,NULL,*
76662,2,0,0,1,0,0,*
76663,2,0,0,1,0,0,*
76664,2,0,0,1,0,0,*
76665,2,0,0,1,0,0,*
76666,2,0,0,1,0,0,*
76812,2,0,0,1,0,0,*
76813,2,0,0,1,0,0,*
76814,2,0,0,1,0,0,*
76815,2,0,0,1,0,0,*
76816,2,0,0,1,0,0,*
76817,2,0,0,1,0,0,*
76818,2,0,0,1,0,0,*
76819,2,0,0,1,0,0,*
76820,2,0,0,1,0,0,*
76821,2,0,0,1,0,0,*
76822,2,0,0,1,0,0,*
76823,2,0,0,1,0,0,*
76824,2,0,0,1,0,0,*
76825,2,0,0,1,0,0,*
76826,2,0,0,1,0,0,*
76827,2,0,0,1,0,0,*
76828,1,0,1,1,0,0,*
76829,2,0,0,1,0,0,*
76831,2,0,0,1,0,0,*
76832,2,0,0,1,0,0,*
76833,2,0,0,1,0,0,*
76834,2,0,0,1,0,0,*
76835,2,0,0,1,0,0,*
76836,2,0,0,1,0,0,*
76865,2,0,0,1,0,0,*
76866,2,0,0,1,0,0,*
76867,2,0,0,1,0,0,*
76868,2,0,0,1,0,0,*
76869,2,0,0,1,0,0,*
76870,2,0,0,1,0,0,*
76871,2,0,0,1,0,0,*
78478,2,0,1,1,0,0,*
78479,2,0,1,1,0,0,*
78480,2,0,1,1,0,0,*
78481,2,0,1,1,0,0,*
78482,2,0,1,1,0,0,*
78483,2,0,1,1,0,0,*
78497,116,0,0,1,0,0,*
78498,116,0,0,1,0,0,*
78499,116,0,0,1,0,0,*
78500,116,0,0,1,0,0,*
78501,116,0,0,1,0,0,*
78502,116,0,0,1,0,0,*
78505,116,0,0,1,0,0,*
78506,116,0,0,1,0,0,*
78507,116,0,0,1,0,0,*
78508,116,0,0,1,0,0,*
78509,116,0,0,1,0,0,*
78510,116,0,0,1,0,0,*
78511,1056,0,1,1,0,0,*
78512,1056,0,1,1,0,0,*
89286,1121,0,1,1,0,1,*
89287,1121,0,1,1,0,1,*
89288,1121,0,1,1,0,1,*
89289,1121,0,1,1,0,1,*
89290,1121,0,1,1,0,1,*
1,1,0,1,1,0,NULL,*
2,1,0,1,1,0,NULL,*
3,1,0,1,1,0,NULL,*
4,1,0,1,1,0,NULL,*
5,1,0,1,1,0,NULL,*
6,1,0,1,1,0,NULL,*
7,1,0,1,1,0,NULL,*
8,1,0,1,1,0,NULL,*
9,1,0,1,1,0,NULL,*
10,2,0,0,1,0,NULL,*
11,2,0,0,1,0,NULL,*
12,2,0,0,1,0,NULL,*
13,2,0,0,1,0,NULL,*
14,1,0,1,1,0,NULL,*
15,1,0,1,1,0,NULL,*
16,1,0,1,1,0,NULL,*
17,1,0,1,1,0,NULL,*
18,1,0,1,1,0,NULL,*
19,1,0,1,1,0,NULL,*
20,1,0,1,1,0,NULL,*
21,1,0,1,1,0,NULL,*
22,1,0,1,1,0,NULL,*
23,1,0,1,1,0,NULL,*
24,1,0,1,1,0,NULL,*
25,1,0,1,1,0,NULL,*
