statId;macId;ramUsage;batteryLevel;cpuUsage;timestamp
10;2;2411;82;0;2019-10-01 14:08:******
11;2;2393;82;0;2019-10-01 14:08:******
12;2;2342;82;0;2019-10-01 14:08:******
13;2;2300;82;0;2019-10-01 14:08:******
14;1;2975;100;0;2019-10-01 14:08:******
15;1;2974;100;0;2019-10-01 14:08:******
32;1;2980;100;0;2019-10-01 14:17:******
33;4;2185;81;0;2019-10-01 14:17:******
34;4;2181;81;0;2019-10-01 14:17:******
35;4;2129;81;0;2019-10-01 14:17:******
36;1;2982;100;0;2019-10-01 14:17:******
52;1;2985;100;0;2019-10-01 14:26:******
53;1;2983;100;0;2019-10-01 14:26:******
54;5;2324;87;0;2019-10-01 14:26:******
55;5;2332;87;0;2019-10-01 14:26:******
56;5;2341;87;0;2019-10-01 14:26:******
134;7;2257;81;1;2019-10-01 16:00:******
135;7;2242;81;0;2019-10-01 16:00:******
136;7;2190;81;1;2019-10-01 16:00:******
137;7;2168;81;1;2019-10-01 16:00:******
138;7;2229;81;1;2019-10-01 16:00:******
198;11;2498;67;0;2019-10-01 17:50:******
199;11;2515;67;0;2019-10-01 17:50:******
200;11;2526;67;0;2019-10-01 17:50:******
201;11;2530;67;0;2019-10-01 17:50:******
202;11;2654;67;0;2019-10-01 17:50:******
203;11;2605;67;0;2019-10-01 17:50:******
250;11;2582;76;0;2019-10-01 18:25:******
251;12;1751;34;0;2019-10-01 18:25:******
252;12;1766;34;0;2019-10-01 18:25:******
253;12;1774;34;0;2019-10-01 18:25:******
254;12;1803;34;0;2019-10-01 18:25:******
255;12;1791;34;0;2019-10-01 18:25:******
256;12;1781;34;0;2019-10-01 18:25:******
257;12;1783;34;0;2019-10-01 18:25:******
312;14;2516;47;0;2019-10-01 18:55:******
313;14;2519;47;0;2019-10-01 18:55:******
314;12;2058;32;0;2019-10-01 18:55:******
315;12;2060;32;0;2019-10-01 18:55:******
316;15;2594;39;0;2019-10-01 18:55:******
317;15;2595;39;0;2019-10-01 18:55:******
318;14;2505;47;0;2019-10-01 18:55:******
319;15;2607;39;0;2019-10-01 18:55:******
320;14;2483;47;0;2019-10-01 18:55:******
321;14;2491;47;0;2019-10-01 18:55:******
322;14;2485;47;0;2019-10-01 18:56:******
323;12;2012;32;0;2019-10-01 18:56:******
324;12;2011;32;0;2019-10-01 18:56:******
325;15;2904;38;0;2019-10-01 18:56:******
326;14;2513;47;0;2019-10-01 18:56:******
327;14;2535;47;0;2019-10-01 18:56:******
328;12;2019;32;0;2019-10-01 18:57:******
329;12;2019;32;0;2019-10-01 18:57:******
330;15;2924;38;0;2019-10-01 18:57:******
331;14;2559;47;0;2019-10-01 18:57:******
332;14;2550;47;0;2019-10-01 18:57:******
333;14;2549;47;0;2019-10-01 18:57:******
334;14;2455;47;0;2019-10-01 18:57:******
420;18;2526;61;0;2019-10-01 19:36:******
421;18;2532;61;0;2019-10-01 19:36:******
422;12;1632;30;0;2019-10-01 19:36:******
423;12;1634;30;0;2019-10-01 19:36:******
424;15;2581;70;0;2019-10-01 19:36:******
425;18;2484;61;0;2019-10-01 19:36:******
555;12;2041;24;0;2019-10-01 20:24:******
556;12;2039;24;0;2019-10-01 20:24:******
557;20;2764;24;0;2019-10-01 20:24:******
558;20;2770;24;0;2019-10-01 20:24:******
559;15;2805;67;0;2019-10-01 20:24:******
560;20;2721;24;0;2019-10-01 20:24:******
561;20;2745;24;0;2019-10-01 20:24:******
741;22;3034;31;0;2019-10-01 21:36:******
742;22;3037;31;0;2019-10-01 21:36:******
743;22;3019;31;1;2019-10-01 21:36:******
744;12;2086;19;0;2019-10-01 21:36:******
745;12;2087;19;0;2019-10-01 21:36:******
